datetime,Substation,Active Power,Reactive Power
2022-03-09 17:30:00,Allinge,0.6565685518388013,-1.1372100904367237
2022-03-09 17:30:00,Aakirkeby,0.2527439885563111,-0.4377654294871376
2022-03-09 17:30:00,Bodilsker,0.4619026184082,1.6316757202148
2022-03-09 17:30:00,Gudhjem,0.714728271006466,-0.1471661409782912
2022-03-09 17:30:00,Hasle,3.1659088134766,-0.47953033447266
2022-03-09 17:30:00,Nexo,2.5488662719727,-0.065460205078125
2022-03-09 17:30:00,Olsker,1.35610198974609,0.100189208984375
2022-03-09 17:30:00,Osterlars,1.53428840637207,-0.739106178283691
2022-03-09 17:30:00,Povlsker,1.2418155670166,-0.517963409423828
2022-03-09 17:30:00,RNO,0.6201654097481873,-1.0741579987806313
2022-03-09 17:30:00,RNS,0.6690518724881822,-1.1588318360486254
2022-03-09 17:30:00,Snorrebakken,1.36360168457031,-0.481428146362305
2022-03-09 17:30:00,Svaneke,1.62329483032227,1.6557731628418
2022-03-09 17:30:00,Vesthavnen,-0.22283718067963432,-0.3859653187525326
2022-03-09 17:30:00,Viadukten,0.46325953907885936,-0.8023890587755239
2022-03-09 17:30:00,Vaerket,0.013880000000000559,0.0
2022-03-09 17:45:00,Allinge,0.6547810350505369,-1.1341140205400675
2022-03-09 17:45:00,Aakirkeby,0.24481258107521517,-0.4240278287543476
2022-03-09 17:45:00,Bodilsker,0.42562866210938,1.6316757202148
2022-03-09 17:45:00,Gudhjem,0.735260752944411,-0.1357810247438271
2022-03-09 17:45:00,Hasle,3.1577911376953,-0.47141265869141
2022-03-09 17:45:00,Nexo,2.6056976318359,-0.016746520996094
2022-03-09 17:45:00,Olsker,1.35610198974609,0.100189208984375
2022-03-09 17:45:00,Osterlars,1.53428840637207,-0.739106178283691
2022-03-09 17:45:00,Povlsker,1.2418155670166,-0.517963409423828
2022-03-09 17:45:00,RNO,0.6201654097481873,-1.0741579987806313
2022-03-09 17:45:00,RNS,0.6690518724881822,-1.1588318360486254
2022-03-09 17:45:00,Snorrebakken,1.36360168457031,-0.481428146362305
2022-03-09 17:45:00,Svaneke,1.62329483032227,1.6557731628418
2022-03-09 17:45:00,Vesthavnen,-0.22283718067963432,-0.3859653187525326
2022-03-09 17:45:00,Viadukten,0.46325953907885936,-0.8023890587755239
2022-03-09 17:45:00,Vaerket,0.0016500000000002624,0.0
2022-03-09 18:00:00,Allinge,0.6425060781415757,-1.112853171513028
2022-03-09 18:00:00,Aakirkeby,0.23506902169436916,-0.4071514888601579
2022-03-09 18:00:00,Bodilsker,0.38028717041016,1.5591278076172
2022-03-09 18:00:00,Gudhjem,0.6918393438023233,-0.15058516053191948
2022-03-09 18:00:00,Hasle,3.1577911376953,-0.46329116821289
2022-03-09 18:00:00,Nexo,2.4027214050293,-0.10605621337891
2022-03-09 18:00:00,Olsker,1.35610198974609,0.100189208984375
2022-03-09 18:00:00,Osterlars,1.53428840637207,-0.739106178283691
2022-03-09 18:00:00,Povlsker,1.2418155670166,-0.517963409423828
2022-03-09 18:00:00,RNO,0.6201654097481873,-1.0741579987806313
2022-03-09 18:00:00,RNS,0.6690518724881822,-1.1588318360486254
2022-03-09 18:00:00,Snorrebakken,1.36360168457031,-0.481428146362305
2022-03-09 18:00:00,Svaneke,1.62329483032227,1.6557731628418
2022-03-09 18:00:00,Vesthavnen,-0.22283718067963432,-0.3859653187525326
2022-03-09 18:00:00,Viadukten,0.46325953907885936,-0.8023890587755239
2022-03-09 18:00:00,Vaerket,-0.011009999999999631,0.0
