ts,"t1s_belastning | powerlab/bornholm/nm/sec/nex/t1s_belastning | 515976","t1p_belastningil3 | powerlab/bornholm/nm/sec/nex/t1p_belastningil3 | 515973","t1s_reaktiveffekt | powerlab/bornholm/nm/sec/nex/t1s_reaktiveffekt | 515979","t2s_sptrinvisning | powerlab/bornholm/nm/sec/nex/t2s_sptrinvisning | 516003","t2s_belastning | powerlab/bornholm/nm/sec/nex/t2s_belastning | 515992","t2s_cosphi | powerlab/bornholm/nm/sec/nex/t2s_cosphi | 515993","t1s_spendingvl1 | powerlab/bornholm/nm/sec/nex/t1s_spendingvl1 | 515981","t2s_aktiveffekt | powerlab/bornholm/nm/sec/nex/t2s_aktiveffekt | 515991","t2p_belastningil1 | powerlab/bornholm/nm/sec/nex/t2p_belastningil1 | 515987","t1p_belastningil1 | powerlab/bornholm/nm/sec/nex/t1p_belastningil1 | 515971","t1s_sptrinvisning | powerlab/bornholm/nm/sec/nex/t1s_sptrinvisning | 515985","t2s_spendingvl1 | powerlab/bornholm/nm/sec/nex/t2s_spendingvl1 | 515999","t1p_belastningil2 | powerlab/bornholm/nm/sec/nex/t1p_belastningil2 | 515972","t1s_cosphi | powerlab/bornholm/nm/sec/nex/t1s_cosphi | 515977","t1s_spendingvl2 | powerlab/bornholm/nm/sec/nex/t1s_spendingvl2 | 515982","t1s_spendingvl3 | powerlab/bornholm/nm/sec/nex/t1s_spendingvl3 | 515983","t1s_cosphitrf1 | powerlab/bornholm/nm/sec/nex/t1s_cosphitrf1 | 516007","t2s_cosphitrf2 | powerlab/bornholm/nm/sec/nex/t2s_cosphitrf2 | 515994","t2s_frekvens | powerlab/bornholm/nm/sec/nex/t2s_frekvens | 515996","t2s_spendingvl2 | powerlab/bornholm/nm/sec/nex/t2s_spendingvl2 | 516000","t2p_belastningil3 | powerlab/bornholm/nm/sec/nex/t2p_belastningil3 | 515989","t2s_reaktiveffekt | powerlab/bornholm/nm/sec/nex/t2s_reaktiveffekt | 515997","t2s_spendingvl3 | powerlab/bornholm/nm/sec/nex/t2s_spendingvl3 | 516001","t1s_frekvens | powerlab/bornholm/nm/sec/nex/t1s_frekvens | 515978","t1s_aktiveffekt | powerlab/bornholm/nm/sec/nex/t1s_aktiveffekt | 515975","t2p_belastningil2 | powerlab/bornholm/nm/sec/nex/t2p_belastningil2 | 515988"
"2022-03-08 00:03:27",,,,,,-4.2646560668945,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:03:30",,,,,,-4.2646560668945,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:03:35",,,,,,,,,,,,,,,,,0.49999997019768,0.99723118543625,,,,,,,,
"2022-03-08 00:03:45",,,,,,,,,,,,,,,,,0.49999997019768,0.99723118543625,,,,,,,,
"2022-03-08 00:03:55",,,,5.9160437583923,,,,,,,,,,,,,0.49999997019768,0.99723118543625,,,,,,,,
"2022-03-08 00:04:05",,,,,,,,,,,,,,,,,0.49999997019768,0.99723118543625,,,,,,,,
"2022-03-08 00:04:07",,,,,,,,,15.527817726135,,,,,,,,,,,,,,,,,15.059053421021
"2022-03-08 00:04:10",,,,,,,,,15.527817726135,,,,,,,,,,,,15.176244735718,,,,,15.059053421021
"2022-03-08 00:04:15",,,,,,,,,,,,,,,,,0.49999997019768,0.99723118543625,,,,,,,,
"2022-03-08 00:04:25",,,,,,,,,,,,,,,,,0.49999997019768,0.99723118543625,50.099185943604,,,,,,,
"2022-03-08 00:04:35",,,,,,,,,,,,,,,,,0.49999997019768,0.99723118543625,,,,,,,,
"2022-03-08 00:04:37",,,,,,-3.5029144287109,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:04:40",,,,,,-3.5029144287109,,1.7044868469238,,,,,,,,,,,,,,-0.089817047119141,,,,
"2022-03-08 00:04:45",,,,,,,,,,,,,,,,,0.49999997019768,0.99813169240952,,,,,,,,
"2022-03-08 00:04:53",,,,,,,,,,,,,,,,,,,,,,,,,,15.410626411438
"2022-03-08 00:04:55",,,,,,,,,,,,,,,,,0.49999997019768,0.99813169240952,,,,,,,,15.410626411438
"2022-03-08 00:05:05",,,,,,,,,,,,,,,,,0.49999997019768,0.99813169240952,,,,,,,,
"2022-03-08 00:05:09",,,,,,-3.8837852478027,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:05:10",,,,,,-3.8837852478027,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:05:15",,,,,,,,,,,,,,,,,0.49999997019768,0.99770349264145,,,,,,,,
"2022-03-08 00:05:22",,,,,,,,,,,,,,,,,,,,,15.703603744507,,,,,
"2022-03-08 00:05:25",,,,,,,,,,,,,,,,,0.49999997019768,0.99770349264145,,,15.703603744507,,,,,
