ts,"t2s_sptrinvisning | powerlab/bornholm/nm/sec/has/t2s_sptrinvisning | 515933","t1s_reaktiveffekt | powerlab/bornholm/nm/sec/has/t1s_reaktiveffekt | 515941","t1s_spendingvl3 | powerlab/bornholm/nm/sec/has/t1s_spendingvl3 | 515914","t2s_frekvens | powerlab/bornholm/nm/sec/has/t2s_frekvens | 515926","bor_sokabelmw | powerlab/bornholm/nm/sec/enet/bor_sokabelmw | 516440","sok_mvbelastning | powerlab/bornholm/nm/sec/has/sok_mvbelastning | 515899","t1s_spendingvl1 | powerlab/bornholm/nm/sec/has/t1s_spendingvl1 | 515912","t2p_belastningil3 | powerlab/bornholm/nm/sec/has/t2p_belastningil3 | 515920","t2s_spendingvl1 | powerlab/bornholm/nm/sec/has/t2s_spendingvl1 | 515929","t1s_belastning | powerlab/bornholm/nm/sec/has/t1s_belastning | 515940","sok_mwbelastning | powerlab/bornholm/nm/sec/has/sok_mwbelastning | 515900","t1p_belastningil3 | powerlab/bornholm/nm/sec/has/t1p_belastningil3 | 515907","sok_belastning | powerlab/bornholm/nm/sec/has/sok_belastning | 515896","t2p_belastningil2 | powerlab/bornholm/nm/sec/has/t2p_belastningil2 | 515919","t2s_belastning | powerlab/bornholm/nm/sec/has/t2s_belastning | 515923","t2s_cosphi | powerlab/bornholm/nm/sec/has/t2s_cosphi | 515924","t2s_aktiveffekt | powerlab/bornholm/nm/sec/has/t2s_aktiveffekt | 515922","t1s_aktiveffekt | powerlab/bornholm/nm/sec/has/t1s_aktiveffekt | 515910","t1p_cosphitrf1 | powerlab/bornholm/nm/sec/has/t1p_cosphitrf1 | 515908","t1p_belastningil1 | powerlab/bornholm/nm/sec/has/t1p_belastningil1 | 515905","t1s_cosphi | powerlab/bornholm/nm/sec/has/t1s_cosphi | 515942","t2s_spendingvl2 | powerlab/bornholm/nm/sec/has/t2s_spendingvl2 | 515930","t2s_reaktiveffekt | powerlab/bornholm/nm/sec/has/t2s_reaktiveffekt | 515927","sok_60kvliniespend | powerlab/bornholm/nm/sec/has/sok_60kvliniespend | 515895","t2s_trp2pf | powerlab/bornholm/nm/sec/has/t2s_trp2pf | 516446","t1s_trp1pf | powerlab/bornholm/nm/sec/has/t1s_trp1pf | 516445","sok_mvarbelastning | powerlab/bornholm/nm/sec/has/sok_mvarbelastning | 515898","t1s_frekvens | powerlab/bornholm/nm/sec/has/t1s_frekvens | 515939","t2p_belastningil1 | powerlab/bornholm/nm/sec/has/t2p_belastningil1 | 515918","t1s_spendingvl2 | powerlab/bornholm/nm/sec/has/t1s_spendingvl2 | 515913","t1s_sptrinvisning | powerlab/bornholm/nm/sec/has/t1s_sptrinvisning | 515916","t1p_belastningil2 | powerlab/bornholm/nm/sec/has/t1p_belastningil2 | 515906","t2s_spendingvl3 | powerlab/bornholm/nm/sec/has/t2s_spendingvl3 | 515931","sok_spendingsvisningsy | powerlab/bornholm/nm/sec/has/sok_spendingsvisningsy | 515901"
"2022-03-08 00:02:20",,,,50.040588378906,,,,21.445966720581,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:02:25",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:02:34",,,,,,,,,,,,,,,130.34577941894,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:02:35",,,,,,,,,,,,,,,130.34577941894,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:02:45",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:02:55",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:03:04",,,,,,,,,6.0249729156494,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:03:05",,,,,,,,,6.0249729156494,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:03:15",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:03:16",,,,,,,,,,,,,,,123.78307342529,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:03:20",,,,,,,,,,,,,,,123.78307342529,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:03:25",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:03:35",,,,,,,,,,,,,,20.15686416626,,,,,,,,,,,0.49999997019768,0.49999997019768,,,20.391246795654,,,,,
"2022-03-08 00:03:45",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,1.591326713562,,,
"2022-03-08 00:03:50",,,,,,,,20.860012054443,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:03:55",,,,,,,,20.860012054443,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,1.5742362737656,,,
"2022-03-08 00:04:04",,,,,,,,,,,,,,,,,2.1672706604004,,,,,,,,,,,,,,,,,
"2022-03-08 00:04:05",,,,,,,,,,,,,,,,,2.1672706604004,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:04:15",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:04:25",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:04:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5879085063934,,,
"2022-03-08 00:04:35",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:04:45",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,1.5742362737656,,,
"2022-03-08 00:04:50",,,,,,,,20.5670337677,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:04:55",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:05:01",,,,,,,,,,,,,,,125.89251708984,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:05:05",,,,,,,,,,,,,,,125.89251708984,,,,,,,,,,0.49999997019768,0.49999997019768,,,20.742820739746,,,,,
"2022-03-08 00:05:15",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:05:19",,,,,,,,21.211584091186,,,,,,20.742820739746,,,,,,,,,,,,,,,,,,,,
"2022-03-08 00:05:20",,,,,,,,21.211584091186,,,,,,20.742820739746,,,,,,,,,,,,,,,,,1.591326713562,,,
"2022-03-08 00:05:25",,,,,,,,,,,,,,,,,,,,,,,,,0.49999997019768,0.49999997019768,,,,,,,,
"2022-03-08 00:05:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5879085063934,,,
