ts,"t1s_spendingvl3 | powerlab/bornholm/nm/sec/bod/t1s_spendingvl3 | 515706","t1s_reaktiveffekt | powerlab/bornholm/nm/sec/bod/t1s_reaktiveffekt | 515702","lok_10kvskinnespend | powerlab/bornholm/nm/sec/bod/lok_10kvskinnespend | 516444","t1s_aktiveffekt | powerlab/bornholm/nm/sec/bod/t1s_aktiveffekt | 515696","t1p_belastningil1 | powerlab/bornholm/nm/sec/bod/t1p_belastningil1 | 515692","t1s_belastning | powerlab/bornholm/nm/sec/bod/t1s_belastning | 515697","t1s_cosphi | powerlab/bornholm/nm/sec/bod/t1s_cosphi | 515698","t1s_spendingvl2 | powerlab/bornholm/nm/sec/bod/t1s_spendingvl2 | 515705","t2s_sptrinvisning | powerlab/bornholm/nm/sec/bod/t2s_sptrinvisning | 515710","t1p_belastningil2 | powerlab/bornholm/nm/sec/bod/t1p_belastningil2 | 515693","t1s_frekvens | powerlab/bornholm/nm/sec/bod/t1s_frekvens | 515701","t1s_sptrinvisning | powerlab/bornholm/nm/sec/bod/t1s_sptrinvisning | 515707","t1s_cosphitrf1 | powerlab/bornholm/nm/sec/bod/t1s_cosphitrf1 | 515699","t1s_spendingvl1 | powerlab/bornholm/nm/sec/bod/t1s_spendingvl1 | 515704","t1p_belastningil3 | powerlab/bornholm/nm/sec/bod/t1p_belastningil3 | 515694"
"2022-03-08 00:06:45",,,,,,,,,,,,5.6972870826721,0.93968534469605,,
"2022-03-08 00:06:50",,,,,,95.649887084961,,,,,,,,,
"2022-03-08 00:06:55",,,,,,,,,,,,,0.93968534469605,,
"2022-03-08 00:07:05",,,,,,,,,,,,,0.93968534469605,,
"2022-03-08 00:07:12",,,10.608112335205,,,,,,,,,,,,
"2022-03-08 00:07:15",,,10.608112335205,,,,,,,,,,0.93968534469605,,
"2022-03-08 00:07:25",,,,0.25333786010742,,,,,,17.051301956177,,,0.93968534469605,,
"2022-03-08 00:07:35",,,,,,,,,,,,,0.93968534469605,,
"2022-03-08 00:07:40",,,,,,,,,,,,,,,17.051301956177
"2022-03-08 00:07:45",,,,,,,,,,,,,0.93968534469605,,
"2022-03-08 00:07:49",,,,,,,-21.495407104492,,,,,,,,
"2022-03-08 00:07:50",,,,,,,-21.495407104492,,,,,,,,
"2022-03-08 00:07:53",,,,,,,,,,,,,0.93044692277908,,
"2022-03-08 00:07:55",,,,,,,,,,,,,0.93044692277908,,
"2022-03-08 00:08:05",,,,,,,,,,,,,0.93044692277908,,
"2022-03-08 00:08:10",,,,,16.875514984131,,,,,,,,,,
"2022-03-08 00:08:15",,,,,,,,,,,,,0.93044692277908,,
"2022-03-08 00:08:21",,,10.619831085205,,,,,,,,,,,,
"2022-03-08 00:08:25",,,10.619831085205,,,,,,,,,,0.93044692277908,,
"2022-03-08 00:08:29",,,,,,,-19.913326263428,,,,,,,,
"2022-03-08 00:08:30",,,,,,93.01309967041,-19.913326263428,,,,,,,,
"2022-03-08 00:08:32",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:08:35",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:08:45",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:08:51",,,,,,,,,,,,,,,16.875514984131
"2022-03-08 00:08:55",,,,,,,,,,,,,0.94020891189575,,16.875514984131
"2022-03-08 00:09:05",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:09:06",,,,,,,,,,16.582536697388,,,,,
"2022-03-08 00:09:10",,,,,,,,,,16.582536697388,,,,,
"2022-03-08 00:09:15",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:09:25",,,,,16.641132354736,,,,,,,,0.94020891189575,,
"2022-03-08 00:09:31",,,,,,94.067817687988,,,,,,,,,
"2022-03-08 00:09:35",,,,,,94.067817687988,,,,,,,0.94020891189575,,
"2022-03-08 00:09:45",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:09:51",,,,,,,,,,16.875514984131,,,,,
"2022-03-08 00:09:55",,,,,,,,,,16.875514984131,,,0.94020891189575,,
"2022-03-08 00:10:05",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:10:15",,,,,,,,,,,,,0.94020891189575,,
"2022-03-08 00:10:25",,,,,,,,,,,,,0.94020891189575,,16.816919326782
"2022-03-08 00:10:30",,,,,,,-20.235603332519,,,,,,,,
"2022-03-08 00:10:35",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:10:40",,1.5409927368164,,,16.875514984131,,,,,,,,,,
"2022-03-08 00:10:45",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:10:55",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:11:05",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:11:15",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:11:20",6.1054110527039,,,,,,,,,16.992706298828,,,,,
"2022-03-08 00:11:25",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:11:30",,,,,,95.82568359375,,,,,,,,,
"2022-03-08 00:11:35",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:11:40",,,,,,,,,,,,,,,17.109897613525
"2022-03-08 00:11:45",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:11:55",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:12:05",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:12:10",,,,,,,,,,,,5.693868637085,,,
"2022-03-08 00:12:15",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:12:25",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:12:30",,,10.612018585205,,,,,,,,,,,,
"2022-03-08 00:12:35",,1.5591278076172,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:12:45",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:12:55",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:13:05",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:13:10",,,,,,,,,,,,5.6972870826721,,,
"2022-03-08 00:13:15",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:13:25",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:13:35",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:13:36",,,,,17.227088928223,,,,,17.285684585571,,,,,
"2022-03-08 00:13:40",,,,,17.227088928223,,,,,17.285684585571,,,,,
"2022-03-08 00:13:45",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:13:55",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:14:05",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:14:15",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:14:21",,1.6135406494141,,,,,,,,,,,,,17.578660964966
"2022-03-08 00:14:25",,1.6135406494141,,,,,,,,,,,0.93827825784683,,17.578660964966
"2022-03-08 00:14:35",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:14:45",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:14:51",,,,,,,,,,,,,,,17.109897613525
"2022-03-08 00:14:55",,,,0.26240539550781,,,,,,,,,0.93827825784683,,17.109897613525
"2022-03-08 00:15:05",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:15:10",,1.5681953430176,,,,,,,,,,,,,
"2022-03-08 00:15:12",,,10.616901397705,,,,,,,,,,,,
"2022-03-08 00:15:15",,,10.616901397705,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:15:25",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:15:35",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:15:45",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:15:50",,,,,,,,,,,,5.693868637085,,,
"2022-03-08 00:15:55",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:16:05",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:16:10",,,,,16.992706298828,,,,,,,,,,
"2022-03-08 00:16:15",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:16:25",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:16:35",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:16:45",,,,,,,,,,,,,0.93827825784683,,
"2022-03-08 00:16:48",,,,,,,-19.913326263428,,,,,,,,
"2022-03-08 00:16:50",,,,,,,-19.913326263428,,,,,5.6972870826721,,,
