ts,"t1p_belastningil3 | powerlab/bornholm/nm/sec/ost/t1p_belastningil3 | 516132","t1s_reaktiveffekt | powerlab/bornholm/nm/sec/ost/t1s_reaktiveffekt | 516139","t1s_cosphi | powerlab/bornholm/nm/sec/ost/t1s_cosphi | 516136","t1s_frekvens | powerlab/bornholm/nm/sec/ost/t1s_frekvens | 516138","t1s_sptrinvisning | powerlab/bornholm/nm/sec/ost/t1s_sptrinvisning | 516143","t1s_cosphitrf1 | powerlab/bornholm/nm/sec/ost/t1s_cosphitrf1 | 516137","t1s_belastning | powerlab/bornholm/nm/sec/ost/t1s_belastning | 516135","t1s_spendingvl3 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl3 | 516142","t1s_10kvskinnespend | powerlab/bornholm/nm/sec/ost/t1s_10kvskinnespend | 516133","t1s_spendingvl2 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl2 | 516141","t1s_aktiveffekt | powerlab/bornholm/nm/sec/ost/t1s_aktiveffekt | 516134","t1s_spendingvl1 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl1 | 516140","t1p_belastningil2 | powerlab/bornholm/nm/sec/ost/t1p_belastningil2 | 516131","t1p_belastningil1 | powerlab/bornholm/nm/sec/ost/t1p_belastningil1 | 516130"
"2024-03-08 00:00:00",14.8832664489746,-0.739106178283691,-32.5278472900391,49.952693939209,5.13577699661255,0.850876569747925,92.375862121582,5.9877610206604,10.5025177001953,6.08586549758911,1.53428840637207,6.0385046005249,15.4692220687866,15.2348403930664
"2024-03-08 00:00:01",,,,,,0.843130230903625,,,,,,,,
"2024-03-08 00:00:05",,,,,,0.843130230903625,,,,,,,,
"2024-03-08 00:00:15",,,,,,0.843130230903625,,,,,1.5180492401123,,,
"2024-03-08 00:00:25",,,,,,0.843130230903625,,,,,,,,
"2024-03-08 00:00:35",,,,,,0.843130230903625,,,,,,,,
"2024-03-08 00:00:40",,,,,5.15701770782471,,,,,,,,,
"2024-03-08 00:00:45",,,,,,0.843130230903625,,,,,,,,
"2024-03-08 00:00:55",,,,,,0.843130230903625,,,,,,,,
"2024-03-08 00:00:57",15.2934350967407,,,50.0405883789063,,,,,,,,,15.8793907165527,
"2024-03-08 00:01:00",15.2934350967407,,,50.0405883789063,5.12869691848755,,,,,,,,15.8793907165527,
"2024-03-08 00:01:04",,,-32.1762733459473,,,,,,,,,,,
"2024-03-08 00:01:05",,,-32.1762733459473,,,0.843130230903625,,,,,,,,
"2024-03-08 00:01:13",,,,,,0.846413791179657,,,,,,,,
